UUID,Center Frequency,Bandwidth,SNR,Start Time,Duration,Signal Type
3e23f51a-2277-451c-8da7-0f3408d6df1c,0.041625391588351934,0.19318181818181815,22.7311342124977,0,1024,4PAM
2ad00682-f104-42db-8da7-97f3577941e7,0.08548945306763905,0.215,9.193433210988466,0,1024,8PSK
3baa18a4-101f-406c-8b9a-046d9b6370f0,0.06563274915875175,0.49032258064516127,9.63593715507157,0,1024,16ASK
cca166ae-3b85-4d3e-88dc-4bbe20f8ff50,-0.0038494636301759505,0.13169014084507044,11.722877593871354,0,1024,8ASK
6e6dbd9a-4093-4973-86bc-1ff6d63f5715,-0.07761379286801094,0.28923076923076924,9.665479395460789,0,1024,16QAM
ccc43f3c-d3c6-4cc8-a0d9-2dc74e4e66e5,0.06946199627131877,0.38723404255319144,18.22402910782839,0,1024,QPSK
f4903284-06dd-4586-a895-92d8c26c7f5e,0.0022033472349105993,0.2795918367346939,19.78457005305416,0,1024,QPSK
b5c64df1-e8dd-4b08-824b-3ed4f7272a89,-0.05950298786679425,0.30476190476190473,17.40328161205646,0,1024,8PSK
ecde58f7-344f-4e0f-8593-69802eb8b135,-0.03617071361928559,0.4475,24.48214237962919,0,1024,8PAM
85301bb5-013d-4601-8dfb-f2e5cf26c663,0.08060722407215576,0.25,24.58122715052799,0,1024,16PSK
6f4918d2-6284-4d26-ae1f-b646a5b98837,0.017823156596517897,0.23846153846153845,21.11106188454712,0,1024,16PSK
79290812-858a-42c1-9559-f9805ed4d18c,0.0029378620058178873,0.47241379310344833,5.466211170013309,0,1024,16ASK
6d9fef9f-b0b7-4af5-a586-5e6d99aad8b7,-0.03358268939173359,0.18055555555555555,15.975279594394873,0,1024,8ASK
12a36666-ab99-4491-b9d3-ed609794acf1,0.08138547125001458,0.3076923076923077,20.231672609262162,0,1024,8ASK
c99493d8-2519-40e9-bbb6-6106242e1dff,-0.06326708047017396,0.3,10.12237168706379,0,1024,16PSK
2e107b66-1c5d-48ea-afb9-bff13fb2cd61,-0.08910933809983522,0.4806451612903226,10.058610849717882,0,1024,8PSK
f3f0ab68-c398-4ee7-8a60-f9d8eaf513c7,-0.013155529136154323,0.3288888888888889,11.631517534803773,0,1024,16ASK
9473c4fd-7a09-4e39-88f7-c097087ea82b,-0.03821828305307844,0.4292682926829269,11.041176745032601,0,1024,8ASK
f5f748ac-be1d-4663-b8d7-1894a63b4124,-0.08127700291184795,0.37567567567567567,11.632993641681374,0,1024,BASK
158682cd-f211-4b7c-9ea4-f1846ec5df09,-0.0023944402274425763,0.30487804878048785,12.133364263984767,0,1024,BASK
46b417b1-b6f8-4e8e-88f4-061f04af0b3f,0.01115215984738474,0.372,12.19485900355341,0,1024,16PAM
809c5bcf-061d-4807-b2ca-9b24f9d630d0,-0.06193480547862695,0.18870967741935482,20.49135390727529,0,1024,BPSK
bfe318fc-0a4c-4b66-b196-ba92e6b2e03e,0.036056838970527194,0.16,6.545526091853113,0,1024,8PSK
ac5f04f6-1d63-434e-a9ee-713f3ae1f619,-0.005792830528045689,0.22428571428571425,15.177801656024684,0,1024,4ASK
4cdac538-ced2-4c40-a6cd-49f5e0109886,0.053878161616524534,0.367741935483871,13.550753349879406,0,1024,QPSK
8252ebb0-fa9a-4900-9ce8-b83d9a197348,-0.09795236546204111,0.42424242424242425,8.82811642826222,0,1024,64QAM
bd4ae077-4cdc-4e59-9c03-dd92e7dd59ba,0.039687864731799916,0.19784946236559137,22.101859701101475,0,1024,16PSK
395f35ba-7192-4abc-8869-cf57e4b7409e,0.02657614740263653,0.14342105263157898,16.79828022567021,0,1024,16PSK
875717e7-a5eb-49e5-bd48-ce96a945c4c9,-0.05105257106058132,0.47391304347826096,18.954090750410845,0,1024,16PAM
8ec42e9c-9748-436b-88f6-0989a2682680,-0.09776778218036229,0.3291666666666667,9.935065872559603,0,1024,8PSK
82002e5a-e47f-412b-95b3-0162817775c9,-0.028833889742510027,0.45882352941176474,21.117631056298094,0,1024,8PSK
db839b9e-1a23-4bb6-9542-a419fea3ac5c,-0.0673020543656683,0.21447368421052632,22.805341332220014,0,1024,BASK
af4dd0cb-f746-4bbf-9589-cfe1c210185d,0.0893455679481377,0.1706896551724138,12.680516139941044,0,1024,16ASK
ca02e20b-e2b4-41fe-8caf-6f8cb86d5c21,0.0721797756843969,0.3903225806451613,9.813663767853962,0,1024,8PAM
69e64216-3884-470f-bc89-f63be6e70b11,-0.09276791953800952,0.10409836065573772,14.06408939219839,0,1024,8PSK
a6d4781b-fc70-4ae7-9a67-863189066a27,-0.09254828987817205,0.3851063829787234,20.0381749905058,0,1024,BPSK
350db0e4-5f8e-4c16-96e7-779c90b9c7eb,-0.08767686194240616,0.33529411764705885,14.579813834807274,0,1024,8PSK
7ffaa7c6-d0a8-4fa2-8c53-194e5b6878a1,-0.0953231806522217,0.46511627906976744,18.79136614746013,0,1024,16PSK
91ce2815-e6ed-40e5-87bc-3c03ea57013d,0.05255684669396829,0.44583333333333336,12.477840034529839,0,1024,16PAM
fcba4d11-8f05-41a3-8e30-7f75e79d55c1,-0.05380760405590741,0.40731707317073174,17.27601125190173,0,1024,BASK
d76124d0-cc38-4da0-8b91-3d7ff8a54b29,0.024812280397744385,0.3285714285714285,11.169770943821117,0,1024,BPSK
76d74317-b41f-4723-9b92-da60a0a18006,-0.04412976936849351,0.41578947368421054,18.516904493419695,0,1024,4ASK
7ec8edce-df68-4f9d-b1b7-e756e5ba1c83,0.07439518774516118,0.3243902439024391,16.735767495741158,0,1024,8PAM
f41b0b3f-acee-49c3-b198-cd71bbef8bb9,-0.01208681824147409,0.3243243243243243,17.885304582327013,0,1024,8PAM
d3cd0756-6276-48ad-b3fc-0f051c7e7222,0.07965406926156532,0.2981481481481481,13.199056364530398,0,1024,4PAM
09269c99-83f7-421a-aa44-60f4fdb682ca,-0.08960942571605089,0.34864864864864864,20.757049428692525,0,1024,16ASK
44f2de6e-e3e4-4c60-a603-d13f8585891e,-0.02681531731637425,0.42972972972972967,9.293754916049625,0,1024,8ASK
a313280a-0a2e-4f70-8cfa-fbc4143482de,-0.06594504311145324,0.31632653061224486,11.807373802160761,0,1024,16PSK
48a9360f-56d9-467b-9a1a-b0cec7aecc06,-0.004158715088978943,0.18985507246376812,18.912484596702768,0,1024,BPSK
50d43fa1-2ad8-46d8-ae35-f5e94e8208d3,0.07898161366822196,0.391304347826087,22.162975913216986,0,1024,4ASK
eb3de9e4-fa4d-4d5a-b166-da38ae04aedf,0.05551741702647592,0.30975609756097566,16.032279944499017,0,1024,8PAM
b61f7d36-9a73-4805-a39d-f62c09b42430,0.05751510031904433,0.4111111111111111,10.230311724102721,0,1024,16PAM
d8824d87-4eb0-428d-9955-50b520ba7638,-0.045882291410793634,0.19000000000000003,22.745874563578163,0,1024,4PAM
b92c55b0-a5ac-476e-be63-1a51f73a5763,-0.06111878254146566,0.18305084745762712,6.559367663424725,0,1024,16ASK
2742c108-f1a2-4b3d-8a40-2d1ec33cd841,-0.0822889253705512,0.4533333333333333,23.714961290537126,0,1024,4ASK
5f436c16-5bd5-46a4-9578-4f76dd432ab3,-0.07037691392723207,0.4095238095238095,24.334446727017657,0,1024,16ASK
b7511557-2727-4e5b-93f7-e8a14ff484ec,-0.09453389464935132,0.19999999999999998,6.395684867083791,0,1024,16ASK
b5680af6-a74e-4da9-8a60-c751434f7e4c,0.014276515918500626,0.16999999999999998,7.945903643913351,0,1024,8ASK
2cadbd73-adcf-4dd7-b293-2f8493936435,0.05933322844980385,0.4634146341463415,18.84201950168115,0,1024,16ASK
120a45f9-b214-47b3-8773-fb9e54e07516,0.06471201740063645,0.21132075471698117,23.230144260606828,0,1024,16QAM
64ca0fa8-a57c-4d4d-910a-358dba68b639,-0.050699380611164795,0.15285714285714286,13.54317016443201,0,1024,16PAM
c56b11aa-27f9-449e-a318-f91cd2f3d6de,-0.02406272089845833,0.4127659574468085,6.102641832209672,0,1024,4PAM
bd51c443-d88b-4fc4-ba59-777d61665972,0.07777657000821442,0.2942857142857143,14.701869276035692,0,1024,8PSK
9b1bef40-0f51-4711-bb8a-4d6c8e7454a2,0.04931735362300982,0.23111111111111113,13.269919368583494,0,1024,16QAM
a4ff984c-b768-4c46-9dc8-b483e01d4267,0.053503884788475786,0.16610169491525423,12.96768264879692,0,1024,8PAM
d5b7b107-de14-4458-9691-9ff3c92f2165,0.03618884676783826,0.35161290322580646,6.737066485579842,0,1024,16PAM
f0bb2fdb-e382-43d3-bef1-4f7aff031c84,-0.0027214961125611586,0.3711111111111111,13.824010221319785,0,1024,4ASK
04c84147-0265-4bd0-8c01-78cec6e1ef49,0.07629069266520458,0.17972972972972973,9.901639935099357,0,1024,16PSK
fc7be071-d4ec-45bc-bcc3-cf7f11540564,0.07007177562311565,0.35833333333333334,18.34520476082004,0,1024,QPSK
20d6de18-d407-45a2-8607-4c0f01aa620e,-0.06454074987071175,0.45833333333333337,5.2848610204409034,0,1024,4ASK
d98b6cc7-6823-499c-b053-1e73c6614b99,0.024126667693364717,0.46451612903225803,22.03229590772246,0,1024,4PAM
6b9a8516-24c7-43ad-9d2d-a39aa1ab2b1d,-0.04043160634672532,0.3566666666666667,17.69825999476009,0,1024,8PSK
2f5a02b1-a086-4d30-a10a-0d134d572b12,-0.05205995167738993,0.2298850574712644,18.92362491003029,0,1024,16PSK
356dd857-206b-4443-9858-f3525ee6ae5d,0.007359664908389754,0.39615384615384613,22.14662467892603,0,1024,16ASK
310eb0c7-897f-4ecb-b2f4-46490840b1da,0.07958621354777037,0.41162790697674423,7.19373523810408,0,1024,BPSK
fd6ced88-5c33-44bd-818c-59cb328f8c6c,0.019028180928027452,0.3160714285714286,22.73634973687208,0,1024,BPSK
e84d93da-91f4-4b79-a873-ae1d2ccdd207,-0.07860240606211018,0.3292682926829269,15.269218617497327,0,1024,4PAM
016f4064-a0c5-4145-8a57-00340173e56e,0.005004492175615494,0.3634146341463415,12.684630706356192,0,1024,16PSK
76b94caa-aacc-4345-a65e-40e9c0a663fa,-0.03643475164983501,0.4758620689655172,20.04134091672253,0,1024,64QAM
523710e2-8d8c-44e9-97a2-c5a9934a764e,-0.011628423379468053,0.19687500000000002,16.796037597152743,0,1024,8ASK
e192fb52-c9fe-4b99-a461-84683a49ebc8,0.004187537578053874,0.36538461538461536,16.763541081578857,0,1024,64QAM
58c6efc9-6966-46cf-bab3-62256c94c22a,0.08678821402403969,0.4257142857142857,6.155994262761824,0,1024,16ASK
28ba1f43-56b6-435e-acc0-012a5879e691,0.08400016901377219,0.21132075471698117,20.943431462255784,0,1024,64QAM
ce0a893a-97d2-4213-a3eb-795bd625e80b,-0.06332059997140177,0.3,7.035159430198304,0,1024,4PAM
490357b6-b887-4d76-93a4-ea567c9bce59,0.0023151524638709564,0.15616438356164386,7.756146172110114,0,1024,16QAM
aca8fdba-ad94-402a-bf65-97cd6b93146e,0.09012059244257487,0.4266666666666667,11.345523265735372,0,1024,16PSK
f2be3189-51cd-4f46-a547-a9809b16c7ab,0.06375298461544357,0.2585365853658537,9.692685328706805,0,1024,QPSK
d2f98468-dcd5-4641-9e95-33a1cbd838b3,-0.06657525249375892,0.27377049180327867,8.63573278100922,0,1024,BASK
4ad72eb7-49ad-4f98-9089-548b447de72d,0.07989387959773217,0.10189873417721518,18.041908907902727,0,1024,16PAM
8c96eda6-06fa-4d27-80e6-e1020423bcff,0.006864022259758393,0.1635294117647059,18.833289776000328,0,1024,8ASK
0350258f-8e26-4d25-90b5-fa2ae6897fce,-0.06440126280986663,0.41379310344827586,24.935892579349286,0,1024,8ASK
87a9b9cc-b979-444a-9082-1967984e5301,-0.0044179317545067764,0.18333333333333332,19.45536678582974,0,1024,16PAM
af21c252-d3f7-4b29-827d-e47784e1f473,0.008644609826378574,0.40909090909090906,11.062866806122955,0,1024,16ASK
